Size,Sequential,Multicore,GPU,Speedup_Multicore,Speedup_GPU
64,0.044294,0.0156523,0.319222,2.82987164825616682532,.13875610076999705534
128,0.0453011,0.0150495,0.312297,3.01013987175653676201,.14505774951408434919
256,0.0449901,0.0154049,0.296212,2.92050581308544683834,.15188479872523733002
512,0.0451256,0.0141505,0.303989,3.18897565457050987597,.14844484504373513515
