Size,Sequential,Multicore,GPU,Speedup_Multicore,Speedup_GPU
64,0.0448066,0.0153747,0.324886,2.91430727103618281982,.13791483782003533547
128,0.0448795,0.0150333,0.297027,2.98533921361244703425,.15109569163746056755
256,0.04557,0.0146112,0.297871,3.11884034165571616294,.15298568843559796019
512,0.0445145,0.0141523,0.292162,3.14538979529829073719,.15236238799022460141
